序号,方向,CAN通道,时间标识,增量时间（秒）,帧ID,帧类别,帧类型,帧格式,数据类别,DLC(数据长度,数据
169,接收,1,2026-04-24 15:39:35.038.654,0.048758,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 33
170,接收,1,2026-04-24 15:39:35.056.198,0.017544,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 50 12 f0
171,接收,1,2026-04-24 15:39:35.089.892,0.033694,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
172,接收,1,2026-04-24 15:39:35.126.651,0.036759,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 33
173,接收,1,2026-04-24 15:39:35.156.216,0.029565,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 52 12 f0
174,接收,1,2026-04-24 15:39:35.194.433,0.038217,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
175,接收,1,2026-04-24 15:39:35.214.649,0.020216,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 33
176,接收,1,2026-04-24 15:39:35.256.210,0.041561,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4d 12 f0
177,接收,1,2026-04-24 15:39:35.302.644,0.046434,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 34
178,接收,1,2026-04-24 15:39:35.356.233,0.053589,731,报文帧,数据帧,标准帧,CAN,1,05
179,接收,1,2026-04-24 15:39:35.356.465,0.000232,1b1,报文帧,数据帧,标准帧,CAN,5,56 27 4b 12 f0
180,接收,1,2026-04-24 15:39:35.362.405,0.005940,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 01 00
181,接收,1,2026-04-24 15:39:35.390.644,0.028239,2,报文帧,数据帧,标准帧,CAN,8,00 01 00 00 00 00 80 34
182,接收,1,2026-04-24 15:39:35.394.420,0.003776,18d,报文帧,数据帧,标准帧,CAN,8,00 00 00 00 00 00 00 00
183,接收,1,2026-04-24 15:39:35.422.820,0.028400,18f181a0,报文帧,数据帧,扩展帧,CAN,8,00 01 00 29 57 19 00 00
184,接收,1,2026-04-24 15:39:35.423.385,0.000565,18f182a0,报文帧,数据帧,扩展帧,CAN,8,01 00 1a 00 a0 00 80 00
185,接收,1,2026-04-24 15:39:35.423.962,0.000577,18f183a0,报文帧,数据帧,扩展帧,CAN,8,c4 09 00 00 21 03 6c 01
186,接收,1,2026-04-24 15:39:35.424.518,0.000556,18f184a0,报文帧,数据帧,扩展帧,CAN,8,00 00 22 00 1f 00 2f 00
187,接收,1,2026-04-24 15:39:35.425.086,0.000568,18f185a0,报文帧,数据帧,扩展帧,CAN,8,21 0a 00 00 30 2a 00 00
